chord_type,chord_type_base
7,7
-7,m7
j7,M7
,M7
NC,NC
-,m7
m7b5,m7b5
6,M7
79b,7
sus,sus7
sus7,sus7
-6,m7
79#,7
+7,7
j7911#,M7
o,dim7
7alt,7
sus7913,sus7
7911#,7
o7,dim7
79,7
-7911,m7
-79,m7
7913,7
sus79,sus7
-j7,M7
j79,M7
69,M7
-69,m7
+79#,7
/G,
/Ab,
6911#,M7
/C,
/A,
+/Ab,
-j7911#,mM7
-7/Bb,m7
/D,
-6/Eb,
79#11#,7
-/C,
-/Bb,
/Eb,
7/Eb,
-7/Eb,
-7/Gb,
-7913,
-j7913,
79b13b,
7913b,
/F#,
-6/C,
79b/B,
-/F,
-/Ab,
sus/A,
79b13,
/E,
79/C,
+79,
/F,
j7911#/C,
+j7,
/B,
7/F#,
-7/Ab,
7/E,
+/C,
7/D,
6/Bb,
j7/A#,
sus7/A,
-/C#,
-79/Ab,
-/G,
7/D#,
/Bb,
+7911#,
-79b,
+,
7/B,
79/Ab,
6/G,
-/Eb,
j7/A,
7/G,
j79#,
7/C,
+79b,
+j7/C,
6/A,
-7/F,
79#13,
7/A,
j79#11#,
6/C,
j7911#/Ab,
-7/C,
-69/Db,
-69/Ab,
j7/B,
7/Ab,
6/D,
7911,
j7/D#,
